Feature,Importance
Credit_History,0.3144449050398248
ApplicantIncome,0.1774871702649623
LoanAmount,0.1722892886901184
CoapplicantIncome,0.11929395894556657
Property_Area,0.05401559081868199
Dependents,0.04420085091469779
Loan_Amount_Term,0.03495988332992789
Married,0.025390235036444313
Self_Employed,0.022173969009367904
Education,0.021491218396745816
Gender,0.014252929553662324
